instant,dteday,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,season_name
19,2011-01-01,1,2011,1,0,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Semi
20,2011-01-01,1,2011,1,0,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Semi
21,2011-01-01,1,2011,1,0,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Semi
22,2011-01-01,1,2011,1,0,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Semi
23,2011-01-01,1,2011,1,0,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Semi
24,2011-01-01,1,2011,1,0,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Semi
25,2011-01-02,1,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Semi
26,2011-01-02,1,2011,1,0,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Semi
27,2011-01-02,1,2011,1,0,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Semi
28,2011-01-02,1,2011,1,0,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Semi
29,2011-01-02,1,2011,1,0,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Semi
30,2011-01-02,1,2011,1,0,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Semi
31,2011-01-02,1,2011,1,0,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Semi
32,2011-01-02,1,2011,1,0,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Semi
33,2011-01-02,1,2011,1,0,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Semi
34,2011-01-02,1,2011,1,0,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Semi
35,2011-01-02,1,2011,1,0,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Semi
36,2011-01-02,1,2011,1,0,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Semi
37,2011-01-02,1,2011,1,0,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Semi
38,2011-01-02,1,2011,1,0,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Semi
39,2011-01-02,1,2011,1,0,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Semi
40,2011-01-02,1,2011,1,0,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Semi
41,2011-01-02,1,2011,1,0,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Semi
42,2011-01-02,1,2011,1,0,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Semi
43,2011-01-02,1,2011,1,0,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Semi
44,2011-01-02,1,2011,1,0,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Semi
45,2011-01-02,1,2011,1,0,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Semi
46,2011-01-02,1,2011,1,0,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Semi
47,2011-01-02,1,2011,1,0,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Semi
48,2011-01-03,1,2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Semi
49,2011-01-03,1,2011,1,0,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Semi
50,2011-01-03,1,2011,1,0,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Semi
51,2011-01-03,1,2011,1,0,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Semi
52,2011-01-03,1,2011,1,0,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Semi
53,2011-01-03,1,2011,1,0,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Semi
54,2011-01-03,1,2011,1,0,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Semi
55,2011-01-03,1,2011,1,0,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Semi
56,2011-01-03,1,2011,1,0,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Semi
57,2011-01-03,1,2011,1,0,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Semi
58,2011-01-03,1,2011,1,0,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Semi
59,2011-01-03,1,2011,1,0,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Semi
60,2011-01-03,1,2011,1,0,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Semi
61,2011-01-03,1,2011,1,0,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Semi
62,2011-01-03,1,2011,1,0,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Semi
63,2011-01-03,1,2011,1,0,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Semi
64,2011-01-03,1,2011,1,0,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Semi
65,2011-01-03,1,2011,1,0,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Semi
66,2011-01-03,1,2011,1,0,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Semi
67,2011-01-03,1,2011,1,0,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Semi
68,2011-01-03,1,2011,1,0,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Semi
69,2011-01-03,1,2011,1,0,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Semi
70,2011-01-04,1,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Semi
71,2011-01-04,1,2011,1,0,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Semi
72,2011-01-04,1,2011,1,0,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Semi
73,2011-01-04,1,2011,1,0,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Semi
74,2011-01-04,1,2011,1,0,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Semi
75,2011-01-04,1,2011,1,0,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Semi
76,2011-01-04,1,2011,1,0,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Semi
77,2011-01-04,1,2011,1,0,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Semi
78,2011-01-04,1,2011,1,0,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Semi
79,2011-01-04,1,2011,1,0,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Semi
80,2011-01-04,1,2011,1,0,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Semi
81,2011-01-04,1,2011,1,0,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Semi
82,2011-01-04,1,2011,1,0,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Semi
83,2011-01-04,1,2011,1,0,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Semi
84,2011-01-04,1,2011,1,0,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Semi
85,2011-01-04,1,2011,1,0,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Semi
86,2011-01-04,1,2011,1,0,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Semi
87,2011-01-04,1,2011,1,0,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Semi
88,2011-01-04,1,2011,1,0,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Semi
89,2011-01-04,1,2011,1,0,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Semi
90,2011-01-04,1,2011,1,0,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Semi
91,2011-01-04,1,2011,1,0,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Semi
92,2011-01-04,1,2011,1,0,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Semi
93,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Semi
94,2011-01-05,1,2011,1,0,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Semi
95,2011-01-05,1,2011,1,0,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Semi
96,2011-01-05,1,2011,1,0,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Semi
97,2011-01-05,1,2011,1,0,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Semi
98,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Semi
99,2011-01-05,1,2011,1,0,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Semi
100,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Semi
101,2011-01-05,1,2011,1,0,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Semi
102,2011-01-05,1,2011,1,0,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Semi
103,2011-01-05,1,2011,1,0,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Semi
104,2011-01-05,1,2011,1,0,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Semi
105,2011-01-05,1,2011,1,0,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Semi
106,2011-01-05,1,2011,1,0,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Semi
107,2011-01-05,1,2011,1,0,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Semi
108,2011-01-05,1,2011,1,0,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Semi
109,2011-01-05,1,2011,1,0,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Semi
110,2011-01-05,1,2011,1,0,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Semi
111,2011-01-05,1,2011,1,0,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Semi
112,2011-01-05,1,2011,1,0,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Semi
113,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Semi
114,2011-01-05,1,2011,1,0,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Semi
115,2011-01-05,1,2011,1,0,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Semi
116,2011-01-06,1,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Semi
117,2011-01-06,1,2011,1,0,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Semi
118,2011-01-06,1,2011,1,0,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Semi
119,2011-01-06,1,2011,1,0,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Semi
120,2011-01-06,1,2011,1,0,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Semi
121,2011-01-06,1,2011,1,0,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Semi
122,2011-01-06,1,2011,1,0,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Semi
123,2011-01-06,1,2011,1,0,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Semi
124,2011-01-06,1,2011,1,0,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Semi
125,2011-01-06,1,2011,1,0,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Semi
126,2011-01-06,1,2011,1,0,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Semi
127,2011-01-06,1,2011,1,0,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Semi
128,2011-01-06,1,2011,1,0,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Semi
129,2011-01-06,1,2011,1,0,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Semi
130,2011-01-06,1,2011,1,0,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Semi
131,2011-01-06,1,2011,1,0,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Semi
132,2011-01-06,1,2011,1,0,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Semi
133,2011-01-06,1,2011,1,0,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Semi
134,2011-01-06,1,2011,1,0,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Semi
135,2011-01-06,1,2011,1,0,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Semi
136,2011-01-06,1,2011,1,0,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Semi
137,2011-01-06,1,2011,1,0,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Semi
138,2011-01-06,1,2011,1,0,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Semi
139,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Semi
140,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Semi
141,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Semi
142,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Semi
143,2011-01-07,1,2011,1,0,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Semi
144,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Semi
145,2011-01-07,1,2011,1,0,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Semi
146,2011-01-07,1,2011,1,0,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Semi
147,2011-01-07,1,2011,1,0,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Semi
148,2011-01-07,1,2011,1,0,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Semi
149,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Semi
150,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Semi
151,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Semi
152,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Semi
153,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Semi
154,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Semi
155,2011-01-07,1,2011,1,0,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Semi
156,2011-01-07,1,2011,1,0,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Semi
157,2011-01-07,1,2011,1,0,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Semi
158,2011-01-07,1,2011,1,0,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Semi
159,2011-01-07,1,2011,1,0,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Semi
160,2011-01-07,1,2011,1,0,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Semi
161,2011-01-07,1,2011,1,0,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Semi
162,2011-01-08,1,2011,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Semi
163,2011-01-08,1,2011,1,0,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Semi
164,2011-01-08,1,2011,1,0,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Semi
165,2011-01-08,1,2011,1,0,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Semi
166,2011-01-08,1,2011,1,0,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Semi
167,2011-01-08,1,2011,1,0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Semi
168,2011-01-08,1,2011,1,0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Semi
169,2011-01-08,1,2011,1,0,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Semi
170,2011-01-08,1,2011,1,0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Semi
171,2011-01-08,1,2011,1,0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Semi
172,2011-01-08,1,2011,1,0,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Semi
173,2011-01-08,1,2011,1,0,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Semi
174,2011-01-08,1,2011,1,0,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Semi
175,2011-01-08,1,2011,1,0,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Semi
176,2011-01-08,1,2011,1,0,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Semi
177,2011-01-08,1,2011,1,0,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Semi
178,2011-01-08,1,2011,1,0,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Semi
179,2011-01-08,1,2011,1,0,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Semi
180,2011-01-08,1,2011,1,0,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Semi
181,2011-01-08,1,2011,1,0,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Semi
182,2011-01-08,1,2011,1,0,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Semi
183,2011-01-08,1,2011,1,0,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Semi
184,2011-01-08,1,2011,1,0,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Semi
185,2011-01-08,1,2011,1,0,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Semi
186,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Semi
187,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Semi
188,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Semi
189,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Semi
190,2011-01-09,1,2011,1,0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Semi
191,2011-01-09,1,2011,1,0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Semi
192,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Semi
193,2011-01-09,1,2011,1,0,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Semi
194,2011-01-09,1,2011,1,0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Semi
195,2011-01-09,1,2011,1,0,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Semi
196,2011-01-09,1,2011,1,0,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Semi
197,2011-01-09,1,2011,1,0,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Semi
198,2011-01-09,1,2011,1,0,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Semi
199,2011-01-09,1,2011,1,0,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Semi
200,2011-01-09,1,2011,1,0,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Semi
201,2011-01-09,1,2011,1,0,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Semi
202,2011-01-09,1,2011,1,0,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Semi
203,2011-01-09,1,2011,1,0,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Semi
204,2011-01-09,1,2011,1,0,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Semi
205,2011-01-09,1,2011,1,0,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Semi
206,2011-01-09,1,2011,1,0,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Semi
207,2011-01-09,1,2011,1,0,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Semi
208,2011-01-09,1,2011,1,0,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Semi
209,2011-01-09,1,2011,1,0,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Semi
210,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Semi
211,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Semi
212,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Semi
213,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Semi
214,2011-01-10,1,2011,1,0,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Semi
215,2011-01-10,1,2011,1,0,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Semi
216,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Semi
217,2011-01-10,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Semi
218,2011-01-10,1,2011,1,0,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Semi
219,2011-01-10,1,2011,1,0,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Semi
220,2011-01-10,1,2011,1,0,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Semi
221,2011-01-10,1,2011,1,0,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Semi
222,2011-01-10,1,2011,1,0,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Semi
223,2011-01-10,1,2011,1,0,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Semi
224,2011-01-10,1,2011,1,0,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,Semi
225,2011-01-10,1,2011,1,0,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,Semi
226,2011-01-10,1,2011,1,0,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Semi
227,2011-01-10,1,2011,1,0,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Semi
228,2011-01-10,1,2011,1,0,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,Semi
229,2011-01-10,1,2011,1,0,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Semi
230,2011-01-10,1,2011,1,0,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Semi
231,2011-01-10,1,2011,1,0,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,Semi
232,2011-01-10,1,2011,1,0,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Semi
233,2011-01-10,1,2011,1,0,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Semi
234,2011-01-11,1,2011,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Semi
235,2011-01-11,1,2011,1,0,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Semi
236,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,Semi
237,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Semi
238,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Semi
239,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Semi
240,2011-01-11,1,2011,1,0,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,Semi
241,2011-01-11,1,2011,1,0,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,Semi
242,2011-01-11,1,2011,1,0,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,Semi
243,2011-01-11,1,2011,1,0,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,Semi
244,2011-01-11,1,2011,1,0,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,Semi
245,2011-01-11,1,2011,1,0,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,Semi
246,2011-01-11,1,2011,1,0,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,Semi
247,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,Semi
248,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,Semi
249,2011-01-11,1,2011,1,0,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,Semi
250,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,Semi
251,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,Semi
252,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,Semi
253,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,Semi
254,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,Semi
255,2011-01-11,1,2011,1,0,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,Semi
256,2011-01-12,1,2011,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,Semi
257,2011-01-12,1,2011,1,0,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,Semi
258,2011-01-12,1,2011,1,0,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,Semi
